001 White,f7f7f7
005 Silver,d0d0d0
007 Prussian Blue,29296f
010 Cream Brown,eceabc
017 Light Blue,aec6e0
019 Sky Blue,326d98
027 Fresh Green,bdc99a
030 Vermilion,ed734c
058 Dark Brown,3e2e2f
070 Cornflower Blue,9aa5cd
079 Salmon Pink,f1cfdb
085 Pink,e5b0cf
086 Deep Rose,d74b6a
107 Dark Fuchsia,c64390
124 Flesh Pink,f0d3d8
126 Pumpkin,ed8c40
202 Lemon Yellow,f9ee75
205 Yellow,f7e044
206 Harvest Gold,f9dc29
208 Orange,dda312
209 Tangerine,e56f32
214 Deep Gold,d1a339
307 Linen,f6e9e0
323 Light Brown,81624d
328 Brass,c3a246
330 Russet Brown,bca550
333 Amber Red,6b313a
337 Reddish Brown,e68340
339 Clay Brown,965430
348 Khaki,ddb448
399 Warm Gray,d0cab8
405 Blue,3463b9
406 Ultra Marine,192e75
415 Peacock Blue,1b3939
420 Electric Blue,345ea2
502 Mint Green,82bb7a
507 Emerald Green,2e6439
509 Leaf Green,4ea15d
513 Lime Green,a2db41
515 Moss Green,637e2e
517 Dark Olive,3e3826
519 Olive Green,4b5043
534 Teal Green,375c51
542 Seacrest,7fa7a4
607 Wisteria Violet,5a5996
612 Lilac,7b6091
613 Violet,6b457a
614 Purple,53356c
620 Magenta,76467e
704 Pewter,797584
707 Dark Gray,2a292f
800 Red,f01920
804 Levandr,9590b5
807 Carmine,ad1b43
808 Deep Green,325948
810 Light Lilac,e58cdb
812 Cream Yellow,f3cc7b
817 Gray,7d7b88
843 Beige,d6c8ad
869 Royal Purple,8b305c
900 Black,1b1b1d
901 Flesh,f6e4de
902 Ivory,f5eed7
N002 Black,f3f3f3
N003 Gold,c2a055
N201 Pink,b23161
N203 Orange,ba3928
N204 Yellow,e6e229
N205 Dark Brown,391808
N206 Bright Green,1e8152
N207 Blue,13276f
N208 Purple,954f8e
N209 Pale Violet,a07fb8
N210 Pale Yellow,ddd98f
N211 Pale Pink,e098a6
N212 Peach,d59f77
N213 Beige,9b9168
N214 Brown,7a4c35
N215 Wine Red,641125
N216 Pale Sky,a4b8d3
N217 Sky,52b9c0
N218 Yellow Green,42b93f
N219 Olive Green,2b432a
N220 Silver Gray,d7dadd
N221 Gray,5b6767
N222 Ocean Blue,2d487d
N223 Beige Gray,b29689
N224 Bamboo,c19b61
N225 Red,c92a1d
N226 Green,2c552c
N227 Paler Aqua,7ab59f
N228 Baby Blue,9ac5ce
N229 Powder Blue,43798b
N230 Bright Blue,507194
N231 Slate Blue,274b53
N232 Navy Blue,080f3d
N233 Salmon Pink,d28d8c
N234 Coral,e5604f
N235 Burnt Orange,b93a29
N236 Cinamon,c49673
N237 Umber,6c6945
N238 Blond,d1c579
N239 Sunflower,dbb53b
N240 Orchid Pink,b48bae
N241 Peony Purple,9d1e6c
N242 Burgundy,591943
N243 Royal Purple,480857
N244 Cardinal Red,771421
N245 Opal Green,85b083
N246 Moss Green,5e673c
N247 Meadow Green,4f6f23
N248 Dark Green,11351b
N249 Aquamarine,49917d
N250 Emerald Green,188a74
N251 Peacock Green,1a745d
N252 Dark Gray,505155
N253 Ivory White,e0decf
N254 Hazel,915025
N255 Toast,9d6c23
N256 Salmon,865c6a
N257 Cocoa Brown,624321
N258 Sienna,402e1a
N259 Sepia,2e220c
N260 Dark Sepia,2c0e16
N261 Violet Blue,502983
N262 Blue Ink,101b6a
N263 Sola Blue,125ea1
N264 Green Dust,88c946
N265 Crimson,b52f61
N266 Floral Pink,b1417c
N267 Wine,6a334a
N268 Olive Drab,393220
N269 Meadow,385e2d
N270 Mustard,b2b73e
N272 Old Gold,ab7c2f
N273 Honey Dew,cf812c
N274 Tangerine,d5a05a
N275 Canary Yellow,c7b234